Unnamed: 0,crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,black,lstat,medv
1,0.00632,18.0,2.31,0,0.538,6.575,0.6416065911431514,4.09,1,296,15.3,396.9,4.98,0.4222222222222222
2,0.02731,0.0,7.07,0,0.469,6.421,0.7826982492276005,4.9671,2,242,17.8,396.9,9.14,0.36888888888888893
3,0.02729,0.0,7.07,0,0.469,7.185,0.5993820803295572,4.9671,2,242,17.8,392.83,4.03,0.66
4,0.03237,0.0,2.18,0,0.458,6.998,0.44181256436663235,6.0622,3,222,18.7,394.63,2.94,0.6311111111111111
5,0.06905,0.0,2.18,0,0.458,7.147,0.5283213182286303,6.0622,3,222,18.7,396.9,5.33,0.6933333333333334
6,0.02985,0.0,2.18,0,0.458,6.43,0.5746652935118435,6.0622,3,222,18.7,394.12,5.21,0.5266666666666666
7,0.08829,12.5,7.87,0,0.524,6.012,0.6560247167868176,5.5605,5,311,15.2,395.6,12.43,0.39777777777777773
8,0.14455,12.5,7.87,0,0.524,6.172,0.9598352214212151,5.9505,5,311,15.2,396.9,19.15,0.4911111111111112
9,0.21124,12.5,7.87,0,0.524,5.631,1.0,6.0821,5,311,15.2,386.63,29.93,0.2555555555555556
10,0.17004,12.5,7.87,0,0.524,6.004,0.8547888774459321,6.5921,5,311,15.2,386.71,17.1,0.3088888888888889
11,0.22489,12.5,7.87,0,0.524,6.377,0.94129763130793,6.3467,5,311,15.2,392.52,20.45,0.22222222222222227
12,0.11747,12.5,7.87,0,0.524,6.009,0.82389289392379,6.2267,5,311,15.2,396.9,13.27,0.3088888888888889
13,0.09378,12.5,7.87,0,0.524,5.889,0.3717816683831102,5.4509,5,311,15.2,390.5,15.71,0.3711111111111111
14,0.62976,0.0,8.14,0,0.538,5.949,0.6065911431513903,4.7075,4,307,21.0,396.9,8.26,0.3422222222222222
15,0.63796,0.0,8.14,0,0.538,6.096,0.8403707518022657,4.4619,4,307,21.0,380.02,10.26,0.29333333333333333
16,0.62739,0.0,8.14,0,0.538,5.834,0.5520082389289392,4.4986,4,307,21.0,395.62,8.47,0.3311111111111111
17,1.05393,0.0,8.14,0,0.538,5.935,0.2718846549948507,4.4986,4,307,21.0,386.85,6.58,0.4022222222222223
18,0.7842,0.0,8.14,0,0.538,5.99,0.811534500514933,4.2579,4,307,21.0,386.75,14.67,0.2777777777777778
19,0.80271,0.0,8.14,0,0.538,5.456,0.34706488156539655,3.7965,4,307,21.0,288.99,11.69,0.3377777777777778
20,0.7258,0.0,8.14,0,0.538,5.727,0.685890834191555,3.7965,4,307,21.0,390.95,11.28,0.29333333333333333
21,1.25179,0.0,8.14,0,0.538,5.57,0.98043254376931,3.7979,4,307,21.0,376.57,21.02,0.19111111111111112
22,0.85204,0.0,8.14,0,0.538,5.965,0.8887744593202884,4.0123,4,307,21.0,392.53,13.83,0.3244444444444445
23,1.23247,0.0,8.14,0,0.538,6.142,0.9145211122554068,3.9769,4,307,21.0,396.9,18.72,0.22666666666666668
24,0.98843,0.0,8.14,0,0.538,5.813,1.0,4.0952,4,307,21.0,394.54,19.88,0.21111111111111114
25,0.75026,0.0,8.14,0,0.538,5.924,0.9392378990731204,4.3996,4,307,21.0,394.33,16.3,0.23555555555555557
26,0.84054,0.0,8.14,0,0.538,5.599,0.8527291452111225,4.4546,4,307,21.0,303.42,16.51,0.19777777777777783
